"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Dec 11 17:22:52 +0000 2023","1734262486851838301","I leave London today ruminating over the fact that when we talk about #HIV self-stigma  we’re placing the whole burden on people living with HIV and not on the structural and societal inequalities that create it! Fear  shame  blame and disadvantage isn’t the fault of anyone! 👊","0","1","7","40","en","26294965","1734262486851838301","misterknight","https://twitter.com/misterknight/status/1734262486851838301","","Bolton, England"
"Mon Dec 11 17:03:05 +0000 2023","1734257509387374902","New CDC report shows #PrEP  treatment  and other #HIV  outcomes have improved  though longstanding inequities limit gains among Black and Hispanic/Latino people.   Read more: https://t.co/IPBSYilLsN https://t.co/f30KDn1TXo","3","1","24","44","en","148477475","1734257509387374902","CDC_HIV","https://twitter.com/CDC_HIV/status/1734257509387374902","https://pbs.twimg.com/media/GBFR_1BWMAAVj9B.jpg","Atlanta, Georgia"
"Sat Dec 16 11:10:00 +0000 2023","1735980591659593861","In a growing number of African countries  women will soon have access to vaginal rings to help reduce their vulnerability to #HIV acquisition  thanks to @Pop_Council non-profit.    Read more in @NPR:  https://t.co/odvZZboqkS","2","2","32","67","en","46158711","1735980591659593861","iasociety","https://twitter.com/iasociety/status/1735980591659593861","",""
"Sun Dec 10 12:10:32 +0000 2023","1733821496647406071","So  from Nov 2022 until now— I am absolutely alright. Thanks to God☺️🙏 #PLHIVdiaries #HIV #PLHIVDIARIES","0","14","2","219","en","81026980","1733808249567334593","MigzRN","https://twitter.com/MigzRN/status/1733821496647406071","","Philippines"
"Tue Dec 12 15:01:58 +0000 2023","1734589414913835449","#HIV and #AIDS: What’s the Difference? HIV medicine can stop HIV infection from advancing to AIDS. https://t.co/m10M3AW4ZP https://t.co/MiiKqSKP5e","3","1","22","53","en","21461691","1734589414913835449","HIVinfo_NIH","https://twitter.com/HIVinfo_NIH/status/1734589414913835449","https://pbs.twimg.com/media/GBJ_4aSWUAAMfGx.png",""
"Sun Dec 10 07:04:58 +0000 2023","1733744597136969870","I’m not surviving  I’m living  thriving. #HIV #PLHIV 13 years and counting on.","2","7","3","102","en","287891082","1733744597136969870","certainmadness","https://twitter.com/certainmadness/status/1733744597136969870","","Quezon City, Philippines "
"Thu Dec 14 16:44:25 +0000 2023","1735339972482269329","At the #GlobalRefugeeForum event on #Ukraine  UNAIDS Red Ribbon Envoy and MEP @MarcAngel_lu  commended UNAIDS unique work to support people living with #HIV among Ukrainian refugees. https://t.co/RwMJn4Tp6S","0","0","13","49","en","19177501","1735339972482269329","UNAIDS","https://twitter.com/UNAIDS/status/1735339972482269329","https://pbs.twimg.com/media/GBUqeSEXMAAQl8V.jpg","Geneva, Switzerland"
"Fri Dec 15 17:07:51 +0000 2023","1735708257342140865","When Prince Harry got tested for #HIV  demand for tests increased by 400%. He donated $1.5m from the proceeds of his bestselling book  Spare  to @Sentebale  the charity he founded with Prince Seeiso of Lesotho to support young people affected by #HIV. His mother would be proud. https://t.co/MNGhP6i1f1","2","0","8","54","en","188289863","1735636011705597980","Matthew_Hodson","https://twitter.com/Matthew_Hodson/status/1735708257342140865","https://pbs.twimg.com/media/GBZ5dY2XUAArjWp.jpg","London, Europe"
"Sat Dec 09 05:24:30 +0000 2023","1733356927130755310","Day 5 @icasa2023 #Zim's Dobba Don DanceHall musician who is on drug rehabilitation visits our Exhibition stand  has joined @CivilDrug #harmreduction campaign that is looking @ policies  practices aimed @ reducing any harm associated with using drugs &amp; contributes 2 #HIV reduction https://t.co/E5UkR9vADp","0","1","12","47","en","563813308","1733356927130755310","_ARASAcomms","https://twitter.com/_ARASAcomms/status/1733356927130755310","https://pbs.twimg.com/media/GA4e0iNWMAAFx5d.jpg","Namibia, Windhoek"
"Mon Dec 11 14:48:41 +0000 2023","1734223684137550186","📢🌟🇿🇼#ICASA2023 RECAP!  It was a week of community and advocacy at @icasa2023 in Zimbabwe!  Throughout the conference  @gnpplus were present  hosting dialogues  workshops and plenary sessions! We hosted several sessions discussing #HIV  stigma  discrimination  #decrim  Digital… https://t.co/FpktXpCRAw","0","1","9","58","en","168116826","1734223684137550186","gnpplus","https://twitter.com/gnpplus/status/1734223684137550186","https://pbs.twimg.com/media/GBEpWctXcAA7VX7.jpg","Amsterdam and Cape Town"
"Fri Dec 08 16:06:56 +0000 2023","1733156212005278039","#LegalInSadChina 👹🇨🇳🤡 No wonder kids in #China are coming down with #hiv  #China is obsessed with children and little aids victims dressed as pervert idea of  schoolgirls killing animals. What's going on behind the scenes? Its all wholesome? Maybe one day girl with worms here… https://t.co/YgprOfXNJt","7","29","93","92","en","791440926707253248","1733156212005278039","PhaedraXTeddy","https://twitter.com/PhaedraXTeddy/status/1733156212005278039","https://pbs.twimg.com/media/GA1oY2YWwAAW-YD.jpg","an island with my cats & dogs"
"Fri Dec 15 18:39:41 +0000 2023","1735731370213720172","#PEPFAR initiated #TB preventive therapy for 13.4 million people living with #HIV since 2017.   ➡️As the leading cause of death for people living with HIV  PEPFAR remains deeply committed to providing #TB testing and treatment to save and improve lives.","2","1","11","45","en","69091913","1735731370213720172","PEPFAR","https://twitter.com/PEPFAR/status/1735731370213720172","","Washington, D.C."
"Tue Dec 12 15:20:09 +0000 2023","1734593993202180423",""A cure for #HIV was highlighted as the most important research priority for young people living with HIV." https://t.co/ZfTZG8QHBo @PLOSGPH","3","0","15","40","en","64767085","1734593993202180423","TAGHIVscience","https://twitter.com/TAGHIVscience/status/1734593993202180423","","New York City"
"Tue Dec 12 16:46:08 +0000 2023","1734615629733286065","In its latest press release  @UNAIDS highlights the opportunity to end AIDS in #Africa by urging governments and partners to intensify #HIV response efforts  address inequalities in access and support community-led responses.  Read the press release here: https://t.co/CwS7a3ooXO https://t.co/GF7uPb8QcH","0","1","12","37","en","46158711","1734615629733286065","iasociety","https://twitter.com/iasociety/status/1734615629733286065","https://pbs.twimg.com/media/GBKXtKya4AAIBtg.jpg",""
"Sat Dec 09 03:57:10 +0000 2023","1733334951582474375","A vaginal ring that discreetly delivers anti-HIV drugs will reach more women. In sub-Saharan Africa  women are at high risk of contracting #HIV. Some protective measures carry a stigma but this device enables them to take control without anyone knowing. https://t.co/DdLp3vCbJN","0","1","13","39","en","3047925973","1733334951582474375","DrIanWeissman","https://twitter.com/DrIanWeissman/status/1733334951582474375","","Milwaukee, WI"
"Sat Dec 09 11:48:00 +0000 2023","1733453438606836029","England extends #HIV  #Hepatitis B &amp; C opt-out blood tests to 46 more hospitals  aiming for earlier detection &amp; treatment. The initiative follows a trial that identified over 580 HIV acquisitions.   Read more in @bbc: https://t.co/x9tJ5DXXs0","0","1","20","53","en","46158711","1733453438606836029","iasociety","https://twitter.com/iasociety/status/1733453438606836029","",""
